num;coord_x;coord_y
628;333035.703;1220415
629;333031.538;1220415
630;333027.400;1220415
631;333023.173;1220414
632;333018.933;1220414
633;333014.826;1220414
634;333010.561;1220413
635;333006.297;1220413
636;333002.181;1220413
637;332997.969;1220412
638;332993.740;1220412
639;332989.513;1220412
640;332985.368;1220411
641;332981.257;1220411
642;332977.065;1220411
643;332972.873;1220410
644;332968.682;1220410
645;332964.470;1220410
646;332960.153;1220410
647;332955.980;1220409
648;332951.825;1220409
649;332947.548;1220409
650;332943.389;1220409
651;332939.088;1220409
652;332934.940;1220408
653;332930.670;1220408
654;332926.494;1220408
655;332922.307;1220408
656;332918.086;1220408
657;332913.926;1220408
658;332909.679;1220408
659;332905.400;1220408
660;332901.291;1220407
661;332897.026;1220407
662;332892.848;1220407
663;332888.715;1220408
664;332884.469;1220408
665;332880.224;1220408
666;332875.978;1220408
667;332871.751;1220408
668;332867.544;1220408
669;332863.336;1220408
670;332859.148;1220408
671;332854.963;1220409
672;332850.724;1220409
673;332846.531;1220409
674;332842.284;1220409
675;332838.057;1220410
676;332833.830;1220410
677;332829.603;1220410
678;332825.527;1220410
679;332821.332;1220411
680;332817.125;1220411
681;332812.918;1220411
682;332808.672;1220412
683;332800.381;1220412
684;332796.134;1220412
685;332791.888;1220413
686;332787.683;1220413
687;332783.556;1220413
688;332779.356;1220414
689;332775.184;1220414
690;332770.990;1220414
691;332766.813;1220415
692;332762.623;1220415
693;332758.380;1220415
694;332754.199;1220415
695;332749.929;1220416
696;332745.776;1220416
697;332741.639;1220416
698;332737.313;1220416
699;332733.164;1220417
700;332729.015;1220417
701;332724.865;1220417
702;332720.716;1220417
703;332716.447;1220418
704;332712.178;1220418
705;332708.009;1220418
706;332703.822;1220419
707;332699.634;1220419
708;332695.446;1220419
709;332691.258;1220419
710;332687.071;1220420
711;332682.864;1220420
712;332678.657;1220420
713;332674.469;1220420
714;332670.282;1220421
715;332666.075;1220421
716;332661.868;1220421
717;332657.662;1220422
718;332653.455;1220422
719;332649.266;1220422
720;332645.223;1220422
721;332641.015;1220422
722;332636.788;1220423
723;332632.582;1220423
724;332628.355;1220423
725;332624.148;1220423
726;332619.940;1220423
727;332615.714;1220423
728;332611.689;1220424
729;332607.482;1220424
730;332603.256;1220424
731;332599.049;1220424
732;332594.824;1220425
733;332590.656;1220425
734;332586.450;1220426
735;332582.263;1220426
736;332578.058;1220427
737;332573.871;1220427
738;332569.667;1220428
739;332565.681;1220428
740;332561.494;1220429
741;332557.309;1220429
742;332553.143;1220430
743;332548.976;1220431
744;332544.810;1220432
745;332540.644;1220432
746;332536.612;1220433
747;332532.496;1220434
748;332528.332;1220435
749;332524.368;1220436
750;332520.387;1220438
751;332516.274;1220439
752;332512.299;1220440
753;332508.235;1220441
754;332504.270;1220443
755;332500.360;1220444
756;332496.327;1220445
757;332492.341;1220447
758;332488.431;1220448
759;332484.523;1220450
760;332480.472;1220451
761;332476.540;1220453
762;332472.649;1220454
763;332468.741;1220455
764;332464.684;1220457
765;332460.811;1220458
766;332456.866;1220460
767;332452.865;1220461
768;332448.993;1220463
769;332445.012;1220464
770;332441.065;1220466
771;332437.193;1220467
772;332433.215;1220469
773;332429.302;1220470
774;332425.448;1220472
775;332421.455;1220473
776;332417.593;1220475
777;332413.561;1220476
778;332409.702;1220478
779;332405.831;1220479
780;332401.811;1220481
781;332397.939;1220482
782;332394.084;1220484
783;332390.131;1220485
784;332386.139;1220487
785;332382.267;1220488
786;332378.376;1220490
787;332374.468;1220491
788;332370.577;1220493
789;332366.687;1220495
790;332362.759;1220496
791;332358.851;1220498
792;332354.925;1220499
793;332351.199;1220501
794;332347.254;1220503
795;332343.370;1220504
796;332339.583;1220506
797;332335.729;1220508
798;332331.895;1220509
799;332328.054;1220511
800;332324.189;1220513
801;332320.379;1220515
802;332316.615;1220517
803;332312.853;1220519
804;332309.089;1220520
805;332305.327;1220522
806;332301.564;1220524
807;332297.801;1220526
808;332294.038;1220528
809;332290.358;1220530
810;332286.695;1220532
811;332282.932;1220534
812;332279.169;1220536
813;332275.538;1220538
814;332271.809;1220540
815;332268.030;1220542
816;332264.450;1220544
817;332260.818;1220546
818;332257.092;1220548
819;332253.513;1220551
820;332249.933;1220553
821;332246.354;1220555
822;332242.899;1220557
823;332239.379;1220560
824;332235.943;1220562
825;332232.389;1220565
826;332229.004;1220567
827;332225.625;1220569
828;332222.232;1220572
829;332218.838;1220575
830;332215.527;1220577
831;332212.249;1220580
832;332208.960;1220582
833;332205.753;1220585
834;332202.561;1220588
835;332199.369;1220591
836;332196.163;1220593
837;332192.986;1220596
838;332189.932;1220599
839;332186.795;1220602
840;332183.791;1220605
841;332180.786;1220608
842;332177.769;1220611
843;332174.750;1220614
844;332171.900;1220617
845;332168.890;1220620
846;332166.075;1220623
847;332163.235;1220626
