num;coord_x;coord_y
108;-85.530117100;11.032911240
109;-85.529212700;11.032870390
110;-85.528393000;11.032912370
111;-85.527305300;11.033001130
112;-85.526546500;11.032974670
113;-85.525465500;11.032866570
114;-85.524215400;11.032653330
115;-85.523593900;11.032489920
116;-85.522994800;11.032220410
117;-85.522502900;11.031935220
118;-85.521912100;11.031786790
119;-85.521368100;11.031804660
120;-85.520671700;11.031974700
121;-85.520342200;11.031968780
122;-85.519513700;11.031791260
123;-85.518654500;11.031606320
124;-85.517987900;11.031617230
125;-85.517184400;11.031825640
126;-85.516663900;11.031949370
127;-85.514803800;11.032322040
128;-85.513847000;11.032538780
129;-85.513272700;11.032609780
130;-85.512215700;11.032698330
131;-85.510875300;11.032826140
132;-85.510109400;11.032898090
133;-85.509367700;11.033204580
134;-85.508932100;11.033441430
135;-85.507082000;11.034290910
136;-85.505446300;11.035101470
137;-85.504055100;11.035774550
138;-85.503221000;11.035998220
139;-85.502241600;11.036283170
140;-85.501369500;11.036582730
141;-85.500496900;11.036783880
142;-85.499386500;11.036918070
143;-85.497234300;11.037133110
144;-85.496338100;11.037213240
145;-85.495856000;11.037336740
146;-85.495153100;11.037756570
147;-85.494710100;11.038038850
148;-85.494007800;11.038579790
149;-85.493175800;11.039219780
150;-85.492733800;11.039714020
151;-85.492133400;11.040701090
152;-85.491662000;11.041437710
153;-85.491234900;11.041825890
154;-85.490561500;11.042018460
155;-85.489153700;11.042456880
156;-85.488618500;11.042709330
157;-85.487648800;11.043410550
158;-85.486717400;11.044111570
159;-85.485564600;11.044965090
160;-85.484824100;11.045521340
161;-85.484365800;11.045818820
162;-85.483861100;11.046048400
163;-85.483072200;11.046120400
164;-85.482144900;11.046109800
165;-85.481485800;11.046113030
166;-85.480229100;11.046119180
167;-85.479738700;11.046129150
168;-85.479172600;11.046321170
169;-85.478637200;11.046535750
170;-85.478185800;11.046681790
171;-85.477741600;11.046729380
172;-85.476929300;11.046725780
173;-85.476170500;11.046699200
174;-85.475680000;11.046701590
175;-85.475197300;11.046719080
176;-85.474685200;11.046994110
177;-85.473982900;11.047535010
178;-85.473066700;11.048220780
179;-85.472326200;11.048792150
180;-85.471684100;11.049105650
181;-85.471148700;11.049312650
182;-85.470804200;11.049382460
183;-85.470344300;11.049369550
184;-85.469041100;11.049277470
185;-85.467883700;11.049245240
186;-85.467293400;11.049202680
187;-85.466749200;11.049175040
188;-85.466281000;11.049018340
189;-85.465766100;11.048733160
190;-85.465151900;11.048501460
191;-85.464330800;11.048270760
192;-85.463709600;11.048190500
193;-85.462322500;11.048182060
194;-85.461456300;11.048125690
195;-85.460728700;11.048227610
196;-85.460239200;11.048419230
197;-85.459881000;11.048814610
198;-85.459539900;11.049573280
199;-85.459320400;11.050126960
200;-85.458427200;11.052372050
201;-85.458033300;11.053297510
202;-85.457813900;11.053881470
203;-85.457402300;11.054322530
204;-85.456661000;11.054750030
205;-85.455078800;11.055597940
206;-85.454459700;11.055926440
207;-85.454008800;11.056170850
208;-85.453733800;11.056369000
209;-85.452941600;11.057334230
210;-85.452127600;11.058556940
211;-85.451762700;11.059164310
212;-85.451237800;11.059961710
