num;coord_y;coord_x
571;1220408;333274
572;1220409;333270
573;1220409;333266
574;1220410;333262
575;1220410;333258
576;1220411;333254
577;1220411;333249
578;1220412;333245
579;1220412;333241
580;1220413;333237
581;1220413;333233
582;1220414;333229
583;1220414;333224
584;1220415;333220
585;1220415;333216
586;1220416;333212
587;1220416;333208
588;1220417;333204
589;1220417;333200
590;1220417;333195
591;1220418;333191
592;1220418;333187
593;1220418;333183
594;1220418;333179
595;1220419;333174
596;1220419;333170
597;1220419;333166
598;1220419;333162
599;1220419;333158
600;1220419;333153
601;1220419;333149
602;1220420;333145
603;1220420;333141
604;1220420;333137
605;1220420;333132
606;1220420;333128
607;1220420;333124
608;1220420;333120
609;1220420;333115
610;1220420;333111
611;1220420;333107
612;1220420;333103
613;1220420;333099
614;1220419;333094
615;1220419;333090
616;1220419;333086
617;1220419;333082
618;1220418;333078
619;1220418;333073
620;1220418;333069
621;1220418;333065
622;1220417;333061
623;1220417;333057
624;1220417;333052
625;1220416;333048
626;1220416;333044
627;1220416;333040
628;1220415;333036
629;1220415;333032
630;1220415;333027
631;1220414;333023
632;1220414;333019
633;1220414;333015
634;1220413;333011
635;1220413;333006
636;1220413;333002
637;1220412;332998
638;1220412;332994
639;1220412;332990
640;1220411;332985
641;1220411;332981
642;1220411;332977
643;1220410;332973
644;1220410;332969
645;1220410;332964
646;1220410;332960
647;1220409;332956
648;1220409;332952
649;1220409;332948
650;1220409;332943
651;1220409;332939
652;1220408;332935
653;1220408;332931
654;1220408;332926
655;1220408;332922
656;1220408;332918
657;1220408;332914
658;1220408;332910
659;1220408;332905
660;1220407;332901
661;1220407;332897
662;1220407;332893
663;1220408;332889
664;1220408;332884
665;1220408;332880
666;1220408;332876
667;1220408;332872
668;1220408;332868
669;1220408;332863
670;1220408;332859
671;1220409;332855
672;1220409;332851
673;1220409;332847
674;1220409;332842
675;1220410;332838
676;1220410;332834
677;1220410;332830
678;1220410;332826
679;1220411;332821
680;1220411;332817
681;1220411;332813
682;1220412;332809
683;1220412;332800
684;1220412;332796
685;1220413;332792
686;1220413;332788
687;1220413;332784
688;1220414;332779
689;1220414;332775
690;1220414;332771
691;1220415;332767
692;1220415;332763
693;1220415;332758
694;1220415;332754
695;1220416;332750
696;1220416;332746
697;1220416;332742
698;1220416;332737
699;1220417;332733
700;1220417;332729
701;1220417;332725
702;1220417;332721
703;1220418;332716
704;1220418;332712
705;1220418;332708
706;1220419;332704
707;1220419;332700
708;1220419;332695
709;1220419;332691
710;1220420;332687
711;1220420;332683
712;1220420;332679
713;1220420;332674
714;1220421;332670
715;1220421;332666
716;1220421;332662
717;1220422;332658
718;1220422;332653
719;1220422;332649
720;1220422;332645
721;1220422;332641
722;1220423;332637
723;1220423;332633
724;1220423;332628
725;1220423;332624
726;1220423;332620
727;1220423;332616
728;1220424;332612
729;1220424;332607
730;1220424;332603
731;1220424;332599
732;1220425;332595
733;1220425;332591
734;1220426;332586
735;1220426;332582
736;1220427;332578
737;1220427;332574
738;1220428;332570
739;1220428;332566
740;1220429;332561
741;1220429;332557
742;1220430;332553
743;1220431;332549
744;1220432;332545
745;1220432;332541
746;1220433;332537
747;1220434;332532
748;1220435;332528
749;1220436;332524
750;1220438;332520
751;1220439;332516
752;1220440;332512
753;1220441;332508
754;1220443;332504
755;1220444;332500
756;1220445;332496
757;1220447;332492
758;1220448;332488
759;1220450;332485
760;1220451;332480
761;1220453;332477
762;1220454;332473
763;1220455;332469
764;1220457;332465
765;1220458;332461
766;1220460;332457
767;1220461;332453
768;1220463;332449
769;1220464;332445
770;1220466;332441
771;1220467;332437
772;1220469;332433
773;1220470;332429
774;1220472;332425
775;1220473;332421
776;1220475;332418
777;1220476;332414
778;1220478;332410
779;1220479;332406
780;1220481;332402
781;1220482;332398
782;1220484;332394
783;1220485;332390
784;1220487;332386
785;1220488;332382
786;1220490;332378
787;1220491;332374
788;1220493;332371
789;1220495;332367
790;1220496;332363
791;1220498;332359
792;1220499;332355
793;1220501;332351
794;1220503;332347
795;1220504;332343
796;1220506;332340
797;1220508;332336
798;1220509;332332
799;1220511;332328
800;1220513;332324
801;1220515;332320
802;1220517;332317
803;1220519;332313
804;1220520;332309
805;1220522;332305
806;1220524;332302
807;1220526;332298
808;1220528;332294
809;1220530;332290
810;1220532;332287
811;1220534;332283
812;1220536;332279
813;1220538;332276
814;1220540;332272
815;1220542;332268
816;1220544;332264
817;1220546;332261
818;1220548;332257
819;1220551;332254
820;1220553;332250
821;1220555;332246
822;1220557;332243
823;1220560;332239
824;1220562;332236
825;1220565;332232
826;1220567;332229
827;1220569;332226
828;1220572;332222
829;1220575;332219
830;1220577;332216
831;1220580;332212
832;1220582;332209
833;1220585;332206
834;1220588;332203
835;1220591;332199
836;1220593;332196
837;1220596;332193
838;1220599;332190
839;1220602;332187
840;1220605;332184
841;1220608;332181
842;1220611;332178
843;1220614;332175
844;1220617;332172
845;1220620;332169
846;1220623;332166
847;1220626;332163
848;1220629;332160
849;1220632;332158
850;1220636;332155
851;1220639;332152
852;1220642;332150
853;1220645;332147
854;1220649;332144
855;1220652;332142
856;1220656;332139
857;1220659;332137
858;1220662;332134
859;1220666;332132
860;1220669;332129
861;1220673;332127
862;1220676;332125
863;1220680;332122
864;1220683;332120
865;1220687;332118
866;1220690;332115
867;1220694;332113
868;1220698;332111
869;1220701;332109
870;1220705;332107
871;1220709;332105
872;1220712;332103
873;1220716;332101
874;1220720;332099
875;1220723;332097
876;1220727;332095
877;1220731;332093
878;1220734;332091
879;1220738;332089
880;1220742;332087
881;1220746;332085
882;1220749;332083
883;1220753;332081
884;1220757;332079
885;1220761;332077
886;1220764;332075
887;1220768;332073
888;1220772;332071
889;1220776;332069
890;1220779;332067
891;1220783;332065
892;1220787;332064
893;1220791;332062
894;1220794;332060
895;1220798;332058
896;1220802;332056
897;1220805;332054
898;1220809;332052
899;1220813;332050
900;1220816;332048
901;1220820;332046
902;1220828;332042
903;1220831;332040
904;1220835;332038
905;1220839;332036
906;1220843;332034
907;1220846;332032
908;1220850;332030
909;1220854;332029
910;1220858;332027
911;1220861;332025
912;1220865;332023
913;1220869;332021
914;1220873;332019
915;1220876;332017
916;1220880;332015
